Config,w1,w2,Avg_F1@5,Std_F1@5,Avg_F1@10,Std_F1@10,Avg_F1@15,Std_F1@15,Avg_F1@20,Std_F1@20
Cohesion very high,0.2,0.8,0.2114,0.1573,0.2768,0.1395,0.2738,0.1275,0.2804,0.1234
Cohesion dominant,0.3,0.7,0.2093,0.147,0.2653,0.1417,0.2508,0.1158,0.24,0.1032
Equal weights,0.5,0.5,0.2162,0.1549,0.2629,0.1412,0.2396,0.1144,0.2254,0.0982
Balanced 25-75,0.25,0.75,0.2078,0.1496,0.2629,0.1365,0.2585,0.1233,0.2567,0.1087
Cohesion slightly higher,0.4,0.6,0.2147,0.1532,0.2629,0.1394,0.2415,0.1183,0.2293,0.1012
TF-IDF ultra,0.85,0.15,0.2402,0.1621,0.2624,0.1451,0.2408,0.1167,0.2396,0.0844
TF-IDF max,0.9,0.1,0.2376,0.1664,0.2621,0.1452,0.244,0.112,0.2465,0.0839
Balanced 45-55,0.45,0.55,0.2162,0.1549,0.2618,0.141,0.2414,0.1135,0.2254,0.0998
Balanced 35-65,0.35,0.65,0.2162,0.1518,0.2606,0.141,0.2452,0.1175,0.2286,0.0995
Balanced 55-45,0.55,0.45,0.2182,0.156,0.2605,0.1406,0.2395,0.1158,0.2254,0.0987
TF-IDF slightly higher,0.6,0.4,0.2197,0.1561,0.2605,0.1406,0.2377,0.1174,0.2269,0.0976
Balanced 65-35,0.65,0.35,0.2197,0.1579,0.2605,0.1406,0.2406,0.1189,0.2306,0.0942
TF-IDF dominant,0.7,0.3,0.2212,0.1564,0.2604,0.1456,0.2404,0.1185,0.2313,0.0954
TF-IDF very high,0.75,0.25,0.2246,0.155,0.2603,0.1462,0.2396,0.1181,0.2329,0.0949
TF-IDF extreme,0.8,0.2,0.2386,0.16,0.2601,0.1445,0.2417,0.1185,0.2403,0.0895
