Config,w1,w2,w3,w4,Avg_F1@5,Std_F1@5,Avg_F1@10,Std_F1@10,Avg_F1@15,Std_F1@15
Morph dominant,0.4,0.1,0.5,-0.5,0.2765,0.1383,0.3354,0.1227,0.3757,0.0705
Equal TF-Morph,0.45,0.1,0.45,-0.5,0.2341,0.1373,0.3189,0.1203,0.3708,0.0811
Morph higher,0.5,0.1,0.4,-0.5,0.2175,0.1342,0.315,0.1147,0.3673,0.0802
Balanced TF-Morph,0.5,0.1,0.4,-0.5,0.2175,0.1342,0.315,0.1147,0.3673,0.0802
No coverage,0.6,0.15,0.35,0.0,0.2007,0.1221,0.3132,0.116,0.3607,0.0825
Length higher,0.55,0.2,0.25,-0.5,0.206,0.1166,0.3055,0.1109,0.3607,0.0825
"Current (0.6,0.1,0.3,-0.5)",0.6,0.1,0.3,-0.5,0.1917,0.1159,0.3016,0.113,0.3607,0.0825
Coverage heavy,0.6,0.1,0.3,-0.7,0.1917,0.1159,0.3016,0.113,0.3607,0.0825
Coverage light,0.6,0.1,0.3,-0.3,0.1917,0.1159,0.3016,0.113,0.3607,0.0825
Length lower,0.65,0.05,0.3,-0.5,0.1835,0.1117,0.2832,0.1195,0.3576,0.0782
TF-IDF higher,0.7,0.1,0.2,-0.5,0.1696,0.1029,0.2793,0.1113,0.3576,0.0782
Optimized 1,0.7,0.08,0.22,-0.4,0.1725,0.1041,0.2793,0.1113,0.3576,0.0782
TF-IDF very high,0.8,0.05,0.15,-0.5,0.1487,0.1107,0.2793,0.1113,0.3576,0.0782
Optimized 2,0.75,0.05,0.2,-0.45,0.1517,0.1087,0.2793,0.1113,0.3576,0.0782
TF-IDF dominant,0.75,0.1,0.15,-0.5,0.1571,0.1109,0.2774,0.1087,0.3576,0.0782
